,week,year,effective_concentration_rolling_average,region,state,name,rolling_average_cases_per_100k_centered
0,13,2020,62.42551699,South,FL,"Miami-Dade County, FL",44.146303247
1,14,2020,141.444303,South,FL,"Miami-Dade County, FL",102.01602851999999
2,15,2020,107.4338206,South,FL,"Miami-Dade County, FL",103.6039494
3,16,2020,69.44816407,South,FL,"Miami-Dade County, FL",85.72143663
4,17,2020,86.25278443,South,FL,"Miami-Dade County, FL",71.756145839
5,18,2020,92.04709303,South,FL,"Miami-Dade County, FL",54.40995069
6,19,2020,254.0759434,South,FL,"Miami-Dade County, FL",45.066456066
7,20,2020,118.3769954,South,FL,"Miami-Dade County, FL",55.209169138
8,21,2020,44.93506331,South,FL,"Miami-Dade County, FL",48.610358923
9,22,2020,56.57864872,South,FL,"Miami-Dade County, FL",41.117685969
10,23,2020,172.5176771,South,FL,"Miami-Dade County, FL",57.901273386
11,24,2020,293.3360463,South,FL,"Miami-Dade County, FL",86.688911589
12,25,2020,282.6648573,South,FL,"Miami-Dade County, FL",140.69925304
13,26,2020,342.2460703,South,FL,"Miami-Dade County, FL",284.97921506
14,27,2020,691.3974954,South,FL,"Miami-Dade County, FL",495.31037541
15,28,2020,763.1957651,South,FL,"Miami-Dade County, FL",636.78255685
16,29,2020,903.209743,South,FL,"Miami-Dade County, FL",725.8480916
17,30,2020,611.0601146,South,FL,"Miami-Dade County, FL",754.1257023
18,31,2020,430.1416895,South,FL,"Miami-Dade County, FL",639.9531405
19,32,2020,329.3936966,South,FL,"Miami-Dade County, FL",400.45576485000004
20,33,2020,210.4436464,South,FL,"Miami-Dade County, FL",450.5120782
21,34,2020,128.3229295,South,FL,"Miami-Dade County, FL",254.11991852
22,35,2020,111.8079955,South,FL,"Miami-Dade County, FL",185.8288053
23,36,2020,97.62224135,South,FL,"Miami-Dade County, FL",161.85750986
24,37,2020,68.28766031,South,FL,"Miami-Dade County, FL",101.76890177
25,38,2020,63.28096281,South,FL,"Miami-Dade County, FL",101.16948793
26,39,2020,63.29034093,South,FL,"Miami-Dade County, FL",94.90193273
27,40,2020,47.31415505,South,FL,"Miami-Dade County, FL",101.54280709
28,41,2020,63.33026901,South,FL,"Miami-Dade County, FL",103.51456312
29,42,2020,69.30454521,South,FL,"Miami-Dade County, FL",123.47399228
30,43,2020,103.7749079,South,FL,"Miami-Dade County, FL",140.95163782
31,44,2020,128.1773864,South,FL,"Miami-Dade County, FL",177.65784826
32,45,2020,199.4271547,South,FL,"Miami-Dade County, FL",247.46852814
33,46,2020,242.6802713,South,FL,"Miami-Dade County, FL",314.80268243
34,47,2020,419.9985867,South,FL,"Miami-Dade County, FL",463.39421765
35,48,2020,749.718446,South,FL,"Miami-Dade County, FL",471.05514712999997
36,49,2020,504.0382251,South,FL,"Miami-Dade County, FL",562.3080166899999
37,50,2020,566.6577858,South,FL,"Miami-Dade County, FL",551.4081493
38,51,2020,552.8624474,South,FL,"Miami-Dade County, FL",600.50224569
39,52,2020,485.0720693,South,FL,"Miami-Dade County, FL",534.7612703
40,53,2020,461.9289448,South,FL,"Miami-Dade County, FL",347.70734724
