Year,Period,labor force,employment,unemployment,unemployment rate
2012,Jan,1519109(T),1367120(T),151989(T),10.0(T)
2012,Feb,1528945(T),1377851(T),151094(T),9.9(T)
2012,Mar,1532127(T),1382916(T),149211(T),9.7(T)
2012,Apr,1526276(T),1389050(T),137226(T),9.0(T)
2012,May,1531149(T),1392082(T),139067(T),9.1(T)
2012,Jun,1540519(T),1390841(T),149678(T),9.7(T)
2012,Jul,1548323(T),1394464(T),153859(T),9.9(T)
2012,Aug,1541798(T),1394859(T),146939(T),9.5(T)
2012,Sep,1541400(T),1405765(T),135635(T),8.8(T)
2012,Oct,1546057(T),1409125(T),136932(T),8.9(T)
2012,Nov,1542809(T),1411510(T),131299(T),8.5(T)
2012,Dec,1544586(T),1415705(T),128881(T),8.3(T)
2013,Jan,1540302(T),1403261(T),137041(T),8.9(T)
2013,Feb,1538182(T),1408705(T),129477(T),8.4(T)
2013,Mar,1536919(T),1411477(T),125442(T),8.2(T)
2013,Apr,1527982(T),1411663(T),116319(T),7.6(T)
2013,May,1531882(T),1414598(T),117284(T),7.7(T)
2013,Jun,1541598(T),1412898(T),128700(T),8.3(T)
2013,Jul,1550093(T),1420128(T),129965(T),8.4(T)
2013,Aug,1538628(T),1414394(T),124234(T),8.1(T)
2013,Sep,1539293(T),1420874(T),118419(T),7.7(T)
2013,Oct,1534500(T),1415525(T),118975(T),7.8(T)
2013,Nov,1538592(T),1426121(T),112471(T),7.3(T)
2013,Dec,1533755(T),1427851(T),105904(T),6.9(T)
2014,Jan,1525634(T),1414415(T),111219(T),7.3(T)
2014,Feb,1534585(T),1423559(T),111026(T),7.2(T)
2014,Mar,1539898(T),1429077(T),110821(T),7.2(T)
2014,Apr,1519158(T),1424092(T),95066(T),6.3(T)
2014,May,1526984(T),1430965(T),96019(T),6.3(T)
2014,Jun,1536896(T),1434680(T),102216(T),6.7(T)
2014,Jul,1547633(T),1439244(T),108389(T),7.0(T)
2014,Aug,1541939(T),1438235(T),103704(T),6.7(T)
2014,Sep,1539141(T),1443983(T),95158(T),6.2(T)
2014,Oct,1546513(T),1453133(T),93380(T),6.0(T)
2014,Nov,1550031(T),1458896(T),91135(T),5.9(T)
2014,Dec,1541731(T),1458496(T),83235(T),5.4(T)
2015,Jan,1540969(T),1449788(T),91181(T),5.9(T)
2015,Feb,1543648(T),1457339(T),86309(T),5.6(T)
2015,Mar,1544231(T),1459180(T),85051(T),5.5(T)
2015,Apr,1536351(T),1457888(T),78463(T),5.1(T)
2015,May,1547695(T),1469012(T),78683(T),5.1(T)
2015,Jun,1548047(T),1464595(T),83452(T),5.4(T)
2015,Jul,1559459(T),1472550(T),86909(T),5.6(T)
2015,Aug,1551555(T),1469643(T),81912(T),5.3(T)
2015,Sep,1547616(T),1471709(T),75907(T),4.9(T)
2015,Oct,1553449(T),1475899(T),77550(T),5.0(T)
2015,Nov,1557544(T),1482102(T),75442(T),4.8(T)
2015,Dec,1554969(T),1482532(T),72437(T),4.7(T)
2016,Jan,1550997(T),1474720(T),76277(T),4.9(T)
2016,Feb,1561366(T),1485527(T),75839(T),4.9(T)
2016,Mar,1564757(T),1487104(T),77653(T),5.0(T)
2016,Apr,1551429(T),1479350(T),72079(T),4.6(T)
2016,May,1554921(T),1488274(T),66647(T),4.3(T)
2016,Jun,1560614(T),1482432(T),78182(T),5.0(T)
2016,Jul,1572293(T),1491834(T),80459(T),5.1(T)
2016,Aug,1567266(T),1489178(T),78088(T),5.0(T)
2016,Sep,1570501(T),1496225(T),74276(T),4.7(T)
