,Year,Period,labor force,employment,unemployment,unemployment rate,MONTH_DATES
0,2012,Jan,1519109,1367120,151989,10.0,2012-01
1,2012,Feb,1528945,1377851,151094,9.9,2012-02
2,2012,Mar,1532127,1382916,149211,9.7,2012-03
3,2012,Apr,1526276,1389050,137226,9.0,2012-04
4,2012,May,1531149,1392082,139067,9.1,2012-05
5,2012,Jun,1540519,1390841,149678,9.7,2012-06
6,2012,Jul,1548323,1394464,153859,9.9,2012-07
7,2012,Aug,1541798,1394859,146939,9.5,2012-08
8,2012,Sep,1541400,1405765,135635,8.8,2012-09
9,2012,Oct,1546057,1409125,136932,8.9,2012-10
10,2012,Nov,1542809,1411510,131299,8.5,2012-11
11,2012,Dec,1544586,1415705,128881,8.3,2012-12
12,2013,Jan,1540302,1403261,137041,8.9,2013-01
13,2013,Feb,1538182,1408705,129477,8.4,2013-02
14,2013,Mar,1536919,1411477,125442,8.2,2013-03
15,2013,Apr,1527982,1411663,116319,7.6,2013-04
16,2013,May,1531882,1414598,117284,7.7,2013-05
17,2013,Jun,1541598,1412898,128700,8.3,2013-06
18,2013,Jul,1550093,1420128,129965,8.4,2013-07
19,2013,Aug,1538628,1414394,124234,8.1,2013-08
20,2013,Sep,1539293,1420874,118419,7.7,2013-09
21,2013,Oct,1534500,1415525,118975,7.8,2013-10
22,2013,Nov,1538592,1426121,112471,7.3,2013-11
23,2013,Dec,1533755,1427851,105904,6.9,2013-12
24,2014,Jan,1525634,1414415,111219,7.3,2014-01
25,2014,Feb,1534585,1423559,111026,7.2,2014-02
26,2014,Mar,1539898,1429077,110821,7.2,2014-03
27,2014,Apr,1519158,1424092,95066,6.3,2014-04
28,2014,May,1526984,1430965,96019,6.3,2014-05
29,2014,Jun,1536896,1434680,102216,6.7,2014-06
30,2014,Jul,1547633,1439244,108389,7.0,2014-07
31,2014,Aug,1541939,1438235,103704,6.7,2014-08
32,2014,Sep,1539141,1443983,95158,6.2,2014-09
33,2014,Oct,1546513,1453133,93380,6.0,2014-10
34,2014,Nov,1550031,1458896,91135,5.9,2014-11
35,2014,Dec,1541731,1458496,83235,5.4,2014-12
36,2015,Jan,1540969,1449788,91181,5.9,2015-01
37,2015,Feb,1543648,1457339,86309,5.6,2015-02
38,2015,Mar,1544231,1459180,85051,5.5,2015-03
39,2015,Apr,1536351,1457888,78463,5.1,2015-04
40,2015,May,1547695,1469012,78683,5.1,2015-05
41,2015,Jun,1548047,1464595,83452,5.4,2015-06
42,2015,Jul,1559459,1472550,86909,5.6,2015-07
43,2015,Aug,1551555,1469643,81912,5.3,2015-08
44,2015,Sep,1547616,1471709,75907,4.9,2015-09
45,2015,Oct,1553449,1475899,77550,5.0,2015-10
46,2015,Nov,1557544,1482102,75442,4.8,2015-11
47,2015,Dec,1554969,1482532,72437,4.7,2015-12
48,2016,Jan,1550997,1474720,76277,4.9,2016-01
49,2016,Feb,1561366,1485527,75839,4.9,2016-02
50,2016,Mar,1564757,1487104,77653,5.0,2016-03
51,2016,Apr,1551429,1479350,72079,4.6,2016-04
52,2016,May,1554921,1488274,66647,4.3,2016-05
53,2016,Jun,1560614,1482432,78182,5.0,2016-06
54,2016,Jul,1572293,1491834,80459,5.1,2016-07
55,2016,Aug,1567266,1489178,78088,5.0,2016-08
56,2016,Sep,1570501,1496225,74276,4.7,2016-09
57,2016,Oct,1569563,1495562,74001,4.7,2016-10
58,2016,Nov,1570232,1501163,69069,4.4,2016-11
59,2016,Dec,1565016,1498345,66671,4.3,2016-12
60,2017,Jan,1568413,1494360,74053,4.7,2017-01
61,2017,Feb,1573816,1504083,69733,4.4,2017-02
62,2017,Mar,1571027,1504253,66774,4.3,2017-03
63,2017,Apr,1560732,1500070,60662,3.9,2017-04
64,2017,May,1561624,1503028,58596,3.8,2017-05
65,2017,Jun,1568848,1501537,67311,4.3,2017-06
66,2017,Jul,1579651,1509210,70441,4.5,2017-07
67,2017,Aug,1570447,1502147,68300,4.3,2017-08
68,2017,Sep,1577407,1517414,59993,3.8,2017-09
69,2017,Oct,1573005,1515107,57898,3.7,2017-10
70,2017,Nov,1575494,1519329,56165,3.6,2017-11
71,2017,Dec,1569035,1515624,53411,3.4,2017-12
72,2018,Jan,1570945,1512113,58832,3.7,2018-01
73,2018,Feb,1582895,1526504,56391,3.6,2018-02
74,2018,Mar,1582092,1528182,53910,3.4,2018-03
75,2018,Apr,1569775,1521019,48756,3.1,2018-04
76,2018,May,1573279,1528117,45162,2.9,2018-05
77,2018,Jun,1579576,1522549,57027,3.6,2018-06
78,2018,Jul,1589952,1532407,57545,3.6,2018-07
79,2018,Aug,1574611,1518538,56073,3.6,2018-08
80,2018,Sep,1578257,1527433,50824,3.2,2018-09
81,2018,Oct,1583482,1530601,52881,3.3,2018-10
82,2018,Nov,1585980,1534623,51357,3.2,2018-11
83,2018,Dec,1583757,1530963,52794,3.3,2018-12
84,2019,Jan,1586006,1524455,61551,3.9,2019-01
85,2019,Feb,1590603,1536253,54350,3.4,2019-02
86,2019,Mar,1587607,1532401,55206,3.5,2019-03
87,2019,Apr,1568169,1522073,46096,2.9,2019-04
88,2019,May,1570864,1525881,44983,2.9,2019-05
89,2019,Jun,1575247,1521197,54050,3.4,2019-06
90,2019,Jul,1589313,1531827,57486,3.6,2019-07
91,2019,Aug,1579042,1524248,54794,3.5,2019-08
92,2019,Sep,1581763,1534519,47244,3.0,2019-09
93,2019,Oct,1589338,1539555,49783,3.1,2019-10
94,2019,Nov,1590087,1541171,48916,3.1,2019-11
95,2019,Dec,1586449,1538767,47682,3.0,2019-12
96,2020,Jan,1586831,1532775,54056,3.4,2020-01
97,2020,Feb,1600642,1549631,51011,3.2,2020-02
98,2020,Mar,1577011,1502672,74339,4.7,2020-03
99,2020,Apr,1509531,1272981,236550,15.7,2020-04
100,2020,May,1503189,1259058,244131,16.2,2020-05
101,2020,Jun,1553584,1341665,211919,13.6,2020-06
