,sampling_week,effective_concentration_rolling_average,region,state,name,fipscode
0,1/1/2020,134.8419636,Midwest,IL,"Peoria County, IL",17143
1,3/4/2020,1.740218538,Northeast,MA,"Suffolk County, MA",25025
2,3/11/2020,12.59034427,Northeast,MA,"Suffolk County, MA",25025
3,3/18/2020,58.02332206,Northeast,MA,"Suffolk County, MA",25025
4,3/25/2020,36.63175022,West,CO,"Arapahoe County, CO",8005
5,3/25/2020,4051.550869,Northeast,NJ,"Essex County, NJ",34013
6,3/25/2020,62.42551699,South,FL,"Miami-Dade County, FL",12086
7,3/25/2020,0,Midwest,IN,"Steuben County, IN",18151
8,3/25/2020,159.4548129,Northeast,MA,"Suffolk County, MA",25025
9,4/1/2020,2433.387972,Northeast,NJ,"Essex County, NJ",34013
10,4/1/2020,29.60517329,Northeast,MA,"Hampshire County, MA",25015
11,4/1/2020,141.444303,South,FL,"Miami-Dade County, FL",12086
12,4/1/2020,0,West,CA,"Placer County, CA",6061
13,4/1/2020,241.0907817,Northeast,MA,"Suffolk County, MA",25025
14,4/1/2020,0,West,OR,"Yamhill County, OR",41071
15,4/8/2020,289.5320861,West,OR,"Deschutes County, OR",41017
16,4/8/2020,5442.737621,Northeast,NJ,"Essex County, NJ",34013
17,4/8/2020,49.11110891,Northeast,MA,"Hampshire County, MA",25015
18,4/8/2020,0,South,KY,"Harrison County, KY",21097
19,4/8/2020,7.466506283,Northeast,PA,"Indiana County, PA",42063
20,4/8/2020,58.43136402,South,KY,"Jefferson County, KY",21111
21,4/8/2020,107.4338206,South,FL,"Miami-Dade County, FL",12086
22,4/8/2020,0,West,MT,"Park County, MT",30067
24,4/8/2020,0,West,CA,"Placer County, CA",6061
25,4/8/2020,0,Midwest,IN,"Steuben County, IN",18151
26,4/8/2020,388.8329419,Northeast,MA,"Suffolk County, MA",25025
27,4/8/2020,0,West,OR,"Yamhill County, OR",41071
28,4/15/2020,133.9046452,West,CO,"Arapahoe County, CO",8005
29,4/15/2020,110.0911722,West,OR,"Deschutes County, OR",41017
30,4/15/2020,7436.673098,Northeast,NJ,"Essex County, NJ",34013
31,4/15/2020,39.9315811,Northeast,CT,"Fairfield County, CT",9001
32,4/15/2020,109.0659028,Northeast,MA,"Hampshire County, MA",25015
33,4/15/2020,0,South,KY,"Harrison County, KY",21097
34,4/15/2020,18.3740892,Northeast,PA,"Indiana County, PA",42063
35,4/15/2020,177.7011781,South,KY,"Jefferson County, KY",21111
