Data As Of,Start Date,End Date,Group,Year,Month,State,Place of Death,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
04/27/2022,01/01/2020,04/23/2022,By Total,,,United States,Total - All Places of Death,993983,7834206,880049,514011,11076,1369469,
04/27/2022,01/01/2020,04/23/2022,By Total,,,United States,"Healthcare setting, inpatient",675517,2497925,670097,424928,7007,927107,
04/27/2022,01/01/2020,04/23/2022,By Total,,,United States,"Healthcare setting, outpatient or emergency room",34820,465798,25509,11384,501,49416,
04/27/2022,01/01/2020,04/23/2022,By Total,,,United States,"Healthcare setting, dead on arrival",970,21450,550,247,20,1293,
04/27/2022,01/01/2020,04/23/2022,By Total,,,United States,Decedent's home,88814,2619972,62119,24122,2006,127912,
04/27/2022,01/01/2020,04/23/2022,By Total,,,United States,Hospice facility,30548,470487,36780,14601,509,53207,
04/27/2022,01/01/2020,04/23/2022,By Total,,,United States,Nursing home/long term care facility,142638,1215362,70692,32231,849,181895,
04/27/2022,01/01/2020,04/23/2022,By Total,,,United States,Other,20560,541941,14217,6452,183,28483,
04/27/2022,01/01/2020,04/23/2022,By Total,,,United States,Place of death unknown,116,1271,85,46,1,156,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Alabama,Total - All Places of Death,19268,149196,13304,6757,199,25988,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Alabama,"Healthcare setting, inpatient",14849,49975,11189,6008,150,20157,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Alabama,"Healthcare setting, outpatient or emergency room",708,11167,335,117,13,939,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Alabama,"Healthcare setting, dead on arrival",12,220,,,0,15,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Alabama,Decedent's home,1615,58125,708,275,23,2070,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Alabama,Hospice facility,211,5438,368,100,,484,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Alabama,Nursing home/long term care facility,1698,15909,597,223,,2076,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
